vars-100-10.cnf	14.90 UNSATISFIABLE
vars-100-1.cnf	2.18 SATISFIABLE
vars-100-2.cnf	5.29 SATISFIABLE
vars-100-3.cnf	61.19 UNSATISFIABLE
vars-100-4.cnf	49.55 UNSATISFIABLE
vars-100-5.cnf	14.60 SATISFIABLE
vars-100-6.cnf	4.72 SATISFIABLE
vars-100-7.cnf	6.52 SATISFIABLE
vars-100-8.cnf	37.57 SATISFIABLE
vars-100-9.cnf	8.09 UNSATISFIABLE
