vars-100-10.cnf	14.87 UNSATISFIABLE
vars-100-1.cnf	2.23 SATISFIABLE
vars-100-2.cnf	5.24 SATISFIABLE
vars-100-3.cnf	61.53 UNSATISFIABLE
vars-100-4.cnf	48.92 UNSATISFIABLE
vars-100-5.cnf	14.65 SATISFIABLE
vars-100-6.cnf	4.67 SATISFIABLE
vars-100-7.cnf	6.47 SATISFIABLE
vars-100-8.cnf	37.77 SATISFIABLE
vars-100-9.cnf	8.11 UNSATISFIABLE
